Author,Date,Atwood/ Original Reference,Alternate Ref / Link,Source,Latitude,Longitude,C Stock (Mg km-2),Depth (m),TOC %,TC%,TOC (Non %),Units,Dry Bulk Density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.6022,-75.66723365,3559.60314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5958,-75.68067992,4341.08499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5898,-75.78451684,6948.75618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5857,-75.7717,7067.40504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5722,-75.67926766,4175.92823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5675,-75.75,7358.41161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5293,-75.6667,6270.25511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5118,-75.6235,7126.23583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.5062,-75.788,5811.94052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.4841,-75.7628916,7067.40504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.2572,-75.76310327,6888.92497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,87.15,-162.631,6270.255106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.9344,-75.80198653,5608.03862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
